spacing_m,azimuth_deg,rpm_lower,rpm_upper,thrust_total_N
0.6,-45.0,636.0,600.0,12.88922047957799
0.6,-45.0,654.0,612.0,13.447596473098208
0.6,-45.0,672.0,624.0,14.010564372080077
0.6,-45.0,684.0,636.0,14.431566510704112
0.6,-45.0,696.0,648.0,14.881481273734313
0.6,-20.0,642.0,660.0,15.181802189775574
0.6,-45.0,714.0,672.0,15.59510829738016
0.6,-20.0,666.0,684.0,16.17317118349729
0.6,-20.0,678.0,696.0,16.657423784242113
0.6,-20.0,696.0,708.0,17.34328796162968
0.6,-20.0,708.0,720.0,17.852211946463107
0.6,-20.0,720.0,732.0,18.33159391315736
0.6,-20.0,738.0,744.0,19.07402064824532
0.6,-20.0,744.0,756.0,19.554554621873365
0.6,-20.0,756.0,768.0,20.210836073621646
0.6,-20.0,768.0,780.0,20.86711752536992
0.6,-20.0,780.0,792.0,21.5233989771182
0.6,-20.0,786.0,804.0,22.003932950746243
0.6,-20.0,804.0,816.0,22.835961880614757
0.6,-20.0,822.0,828.0,23.68252885438359
0.6,-20.0,834.0,840.0,24.408906965430173
0.6,-20.0,852.0,852.0,25.32741013389029
0.6,-20.0,864.0,864.0,26.04143911521119
0.6,-20.0,876.0,876.0,26.782291257907925
0.6,-20.0,882.0,888.0,27.317550750801956
0.6,-20.0,894.0,900.0,27.987123812916735
0.6,-45.0,942.0,912.0,28.637437450778513
0.6,-45.0,954.0,924.0,29.352165879845074
0.6,-20.0,936.0,936.0,29.97813687524664
0.6,-20.0,948.0,948.0,30.711055963341217
0.6,-20.0,960.0,960.0,31.450449957241425
0.6,-20.0,972.0,972.0,32.222277364240945
0.6,-20.0,984.0,984.0,32.99491460088322
0.6,-20.0,996.0,996.0,33.74167888560126
0.6,-20.0,1008.0,1008.0,34.484552004520026
0.6,-20.0,1020.0,1020.0,35.34248434375739
0.6,-20.0,1032.0,1032.0,36.30397244483842
0.6,-20.0,1044.0,1044.0,37.267163957744124
0.6,-20.0,1056.0,1056.0,38.24463728367856
0.6,-20.0,1068.0,1068.0,39.228953641631065
0.6,-20.0,1086.0,1080.0,40.51862236606914
0.6,-20.0,1098.0,1092.0,41.46685304808383
0.6,-20.0,1110.0,1104.0,42.27172530633664
0.6,-20.0,1128.0,1116.0,43.13625265276478
0.6,-20.0,1146.0,1128.0,43.977398666183895
0.6,-20.0,1158.0,1140.0,44.648739652567244
0.6,-20.0,1170.0,1152.0,45.320080638950614
0.6,-20.0,1182.0,1164.0,45.99142162533397
0.6,-20.0,1194.0,1176.0,46.660503202912075
0.6,-20.0,1200.0,1188.0,47.0995135010877
0.6,-20.0,1200.0,1200.0,47.38772690463277
