spacing_m,azimuth_deg,rpm_lower,rpm_upper,thrust_total_N
0.2,-90.0,644.62,524.1,10.356147457052241
0.2,-90.0,655.1,534.58,10.629280133350722
0.2,-90.0,665.5799999999999,545.0600000000001,10.921706391485255
0.2,-90.0,676.06,555.54,11.205674309744722
0.2,-90.0,686.54,566.02,11.486682139652135
0.2,-90.0,697.02,576.5,11.784714739106299
0.2,-90.0,707.5,586.98,12.082760001475174
0.2,-90.0,717.98,597.46,12.436376811114068
0.2,-90.0,723.22,607.94,12.653184695564168
0.2,-90.0,728.4599999999999,618.42,12.89658997620597
0.2,-90.0,733.6999999999999,628.9,13.166935395276312
0.2,-90.0,733.6999999999999,639.38,13.279557945223
0.2,-90.0,738.9399999999999,649.86,13.613465267793634
0.2,-90.0,738.9399999999999,660.3399999999999,13.761684955452026
0.2,-90.0,744.18,670.8199999999999,14.128136134728578
0.2,-90.0,749.42,681.3,14.48209239345766
0.2,-90.0,754.66,691.78,14.815706253061458
0.2,-90.0,759.9,702.26,15.082667175965693
0.2,-90.0,770.3799999999999,712.74,15.522188799557568
0.2,-90.0,775.6199999999999,723.22,15.79225656965119
0.2,-90.0,775.6199999999999,733.6999999999999,15.892644460930047
0.2,-90.0,780.8599999999999,744.18,16.164128358592635
0.6,-45.0,634.14,754.66,16.477661484532117
0.6,-45.0,639.38,765.14,16.770792216175618
0.6,-45.0,644.62,775.6199999999999,17.084599100232225
0.6,-45.0,649.86,786.0999999999999,17.460165517030923
0.6,-45.0,655.1,796.5799999999999,17.835731933829614
0.6,-45.0,660.3399999999999,807.06,18.2112983506283
0.6,-45.0,665.5799999999999,817.54,18.586864767426995
0.6,-45.0,676.06,828.02,19.135040621795778
0.6,-45.0,681.3,838.5,19.51060703859447
0.6,-45.0,686.54,848.9799999999999,19.88617345539316
0.6,-45.0,691.78,859.4599999999999,20.261739872191853
0.2,-90.0,875.1799999999998,869.9399999999999,20.721066445164553
0.2,-90.0,885.6599999999999,880.4199999999998,21.276299248376645
0.2,-90.0,896.1399999999999,890.8999999999999,21.827283903273173
0.2,-90.0,906.6199999999999,901.3799999999999,22.378268558169708
0.2,-90.0,917.0999999999999,911.8599999999999,22.9298571389807
0.2,-90.0,927.5799999999999,922.3399999999999,23.502463522600337
0.2,-90.0,938.06,932.8199999999999,24.07506990621998
0.2,-90.0,948.54,943.3,24.64767628983962
0.2,-90.0,953.78,953.78,25.017795281849793
0.2,-90.0,969.4999999999999,964.2599999999999,25.666798438150533
0.2,-90.0,979.9799999999999,974.7399999999999,26.03684107948019
0.2,-90.0,990.4599999999998,985.2199999999999,26.406883720809837
0.6,-45.0,801.8199999999999,995.6999999999998,26.96580887846264
0.6,-45.0,812.3,1006.1799999999998,27.599963093180982
0.6,-45.0,828.02,1016.6599999999999,28.44007640281871
0.6,-45.0,843.74,1027.1399999999999,29.280189712456433
0.6,-45.0,854.2199999999999,1037.62,29.914343927174766
0.6,-45.0,869.9399999999999,1048.1,30.75445723681249
